expression,reading,meaning,tags
首,,neck,Radical Stroke_9
香,,fragrant,Radical Stroke_9
韋,,tanned leather,Radical Stroke_10
馬,,horse,Radical Stroke_10
骨,,bone,Radical Stroke_10
高,,tall,Radical Stroke_10
髟,,hair,Radical Stroke_10
鬥,,fight,Radical Stroke_10
鬯,,herbs,Radical Stroke_10
鬲,,tripod,Radical Stroke_10
鬼,,ghost,Radical Stroke_10
竜,,dragon,Radical Stroke_10
魚,,fish,Radical Stroke_11
鳥,,bird,Radical Stroke_11
鹵,,salt,Radical Stroke_11
鹿,,deer,Radical Stroke_11
麻,,hemp,Radical Stroke_11
黄,,yellow,Radical Stroke_11
黒,,black,Radical Stroke_11
亀,,turtle,Radical Stroke_11
黍,,millet,Radical Stroke_12
黹,,embroidery,Radical Stroke_12
歯,,tooth,Radical Stroke_12
黽,,frog,Radical Stroke_13
鼎,,sacrificial tripod,Radical Stroke_13
鼓,,drum,Radical Stroke_13
鼠,,rat,Radical Stroke_13
鼻,,nose,Radical Stroke_14
齊,,even,Radical Stroke_14
龠,,flute,Radical Stroke_17
