expression,reading,meaning,tags
ウキウキ,ウキウキ,"cheerfully, buoyantly",Ideophone
うっかり,うっかり,"carelessly, thoughtlessly",Ideophone
うんざり,うんざり,"boring, tedious",Ideophone
ウスウス,ウスウス,"thinly, slightly",Ideophone
ウトウト,ウトウト,"dozing off, nodding off",Ideophone
うっとり,うっとり,"ecstatically, spellbound",Ideophone
ウズウズ,ウズウズ,"itching to do something, impatient",Ideophone
やんわり,やんわり,"softly, mildly",Ideophone
ヨボヨボ,ヨボヨボ,"doddering, tottering",Ideophone
ヨチヨチ,ヨチヨチ,"with tottering steps, totteringly",Ideophone
ヨイヨイ,ヨイヨイ,"difficulty walking or speaking (due to alcoholism, a stroke, etc.)",Ideophone
ヨレヨレ,ヨレヨレ,"worn-out, shabby",Ideophone
ゆっくり,ゆっくり,"slowly, restful",Ideophone
ユラユラ,ユラユラ,"swaying, swinging",Ideophone
ザクザク,ザクザク,"crunching (e.g. on gravel), loosely weaving",Ideophone
ザワザワ,ザワザワ,"rustling (leaves), creating a commotion",Ideophone
ぴえん,ぴえん,"disappointment (cute/playful), mild sadness",Ideophone
